 De 56 ate 63,  custa: inf
 De 48 ate 32,  custa: 21
 De 56 ate 64,  custa: inf
 De 44 ate 79,  De 12 ate 71,  De 48 ate 33,  De 52 ate 0,  De 36 ate 4,  De 8 ate 0, ate 40,  custa: inf
 De 21 ate 41,  custa: 19
 De 76 ate 71,  custa: inf
 De 21 ate 42,  custa: 37
 De 76 ate 72,  custa: 21
 De 21 ate 43,  custa: 39
 De 76 ate 73,  custa: inf
 De 21 ate 44,  custa: 20
 De 21 ate 45,  custa: 3
 De 40 ate 63,  custa: inf
 De 76 ate 74,  custa: 14
 De 21 ate 46,  custa: 17
 De 76 ate 75,  custa: 1
 De 21 ate 47,  custa: 38
 De 76 ate 76,  custa: inf
 De 21 ate 48,  custa: 29
 De 76 ate 77,  custa: 23
 De 21 ate 49,  custa: 38
 De 76 ate 78,  custa: 21
 De 96 ate 26,  custa: 31
 De 21 ate 50,  custa: 38
 De 96 ate 27,  custa: 27
 De 76 ate 79,  De 21 ate 51,  custa: inf
 custa: inf
 De 96 ate 28,  custa: 20
 De 96 ate 29,  custa: 14
 De 76 ate 80,  custa: inf
 De 21 ate 52,  custa: 25
 De 76 ate 81,  custa: 23
 De 21 ate 53,  custa: 22
 De 96 ate 30,  custa: inf
 De 76 ate 82,  custa: 18
 De 45 ate 22,  custa: 16
 De 76 ate 83,  custa: 29
 De 96 ate 31,  De 21 ate 54,  custa: inf
 custa: inf
 De 96 ate 32,  custa: 18
 De 76 ate 84,  custa: 22
 De 76 ate 85,  custa: 16
 De 21 ate 55,  custa: 33
 De 96 ate 33,  custa: 1
 De 40 ate 64,  custa: 18
 De 96 ate 34,  custa: 20
 De 76 ate 86,  custa: inf
 De 21 ate 56,  custa: inf
 De 29 ate 92,  custa: inf
 De 21 ate 57,  custa: 26
 De 96 ate 35,  custa: inf
 De 76 ate 87,  custa: inf
 De 21 ate 58,  custa: 37
 De 45 ate 23,  custa: 5
 De 76 ate 88,  custa: inf
 De 21 ate 59,  custa: inf
 De 29 ate 93,  custa: 2
 De 21 ate 60,  custa: inf
 De 76 ate 89,  custa: inf
 De 21 ate 61,  custa: 31
 De 21 ate 62,  custa: 17
 De 76 ate 90,  custa: inf
 De 76 ate 91,  custa: 38
 De 21 ate 63,  custa: inf
 De 21 ate 64,  custa: 21
 De 76 ate 92,  custa: inf
 De 21 ate 65,  custa: 28
 De 76 ate 93,  custa: 2
 De 21 ate 66,  custa: 39
 De 76 ate 94,  custa: 20
 De 21 ate 67,  custa: 27
 De 76 ate 95,  custa: 16
 De 40 ate 65,  custa: 28
 De 76 ate 96,  custa: 9
 De 21 ate 68,  custa: inf
 De 21 ate 69,  custa: 33
 De 76 ate 97,  custa: inf
 De 21 ate 70,  custa: 30
 De 76 ate 98,  custa: 29
 De 21 ate 71,  custa: 33
 De 96 ate 36,  custa: 21
 De 96 ate 37,  custa: 23
 De 76 ate 99,  De 21 ate 72,  custa: inf
 custa: inf
 De 96 ate 38,  custa: 10
 De 21 ate 73,  custa: 32
 De 96 ate 39,  custa: 11
 De 77 ate 0,  custa: inf
 De 21 ate 74,  custa: 22
 De 21 ate 75,  custa: 1
 De 96 ate 40,  custa: 10
 De 21 ate 76,  custa: 29
 De 57 ate 74,  custa: 23
 De 21 ate 77,  custa: 19
 De 96 ate 41,  custa: inf
 De 21 ate 78,  custa: 2
 De 57 ate 75,  custa: 1
 De 96 ate 42,  custa: 19
 De 96 ate 43,  custa: 26
 De 21 ate 79,  custa: inf
 De 57 ate 76,  custa: 26
 De 21 ate 80,  custa: 23
 De 57 ate 77,  custa: inf
 De 45 ate 24,  custa: 11
 De 96 ate 44,  custa: inf
 De 57 ate 78,  custa: 2
 De 40 ate 66,  custa: 13
 De 21 ate 81,  custa: 13
 De 21 ate 82,  custa: 23
 De 57 ate 79,  custa: inf
 De 57 ate 80,  custa: 23
 De 21 ate 83,  custa: inf
 De 48 ate 61,  custa: inf
 De 57 ate 81,  custa: 26
 De 21 ate 84,  custa: 23
 De 48 ate 62,  custa: 17
 De 21 ate 85,  custa: 26
 De 57 ate 82,  custa: inf
 De 57 ate 83,  custa: 30
 De 48 ate 63,  custa: inf
 De 21 ate 86,  custa: inf
 De 48 ate 64,  custa: 21
 De 21 ate 87,  custa:De 64 ate 62,  custa: inf
 De 4 ate 60,  custa: inf
 De 36 ate 10,  custa: inf
 De 4 ate 61,  custa: 32
 De 57 ate 22,  custa: inf
 De 57 ate 23,  custa: 30
 De 4 ate 62,  custa: inf
 De 57 ate 24,  custa: 39
 De 4 ate 63,  custa: 45
 De 57 ate 25,  custa: 19
 De 57 ate 26,  custa: 11
 De 4 ate 64,  custa: 21
 De 57 ate 27,  custa: 35
 De 57 ate 28,  custa: 11
 De 4 ate 65,  custa: 33
 De 36 ate 11,  custa: inf
 De 57 ate 29,  custa: 30
 De 4 ate 66,  custa: 13
 De 57 ate 30,  custa: 43
 De 36 ate 12,  custa: 10
 De 4 ate 67,  custa: 33
 De 4 ate 68,  custa: 43
 De 57 ate 31,  custa: inf
 De 57 ate 32,  custa: 24
 De 4 ate 69,  custa: 35
 De 57 ate 33,  custa: 32
 custa: 24
 De 4 ate 70,  custa: 29
 De 8 ate 49,  custa: 43
 De 33 ate 41,  custa: 21
 De 4 ate 71,  custa: inf
 De 64 ate 63,  custa: inf
 De 33 ate 42,  custa: 30
 De 4 ate 72,  custa: 33
 De 33 ate 43,  custa: 42
 De 4 ate 73,  custa: 32
 De 4 ate 74,  custa: 35
 De 33 ate 44,  custa: inf
 De 33 ate 45,  custa: 2
 De 33 ate 46,  custa: 14
 De 4 ate 75,  custa: inf
  custa: 31
 De 22 ate 3,  custa: inf
 De 22 ate 4,  custa: inf
 De 57 ate 97,  De 48 ate 75,  custa: inf
 custa: inf
 De 22 ate 5,  custa: inf
 De 22 ate 6,  custa: inf
 De 22 ate 7,  custa: inf
 De 48 ate 76,  custa: inf
 De 22 ate 8,  custa: inf
 De 48 ate 77,  custa: inf
 De 22 ate 9,  custa: inf
 De 48 ate 78,  custa: inf
 De 22 ate 10,  custa: inf
 De 48 ate 79,  custa: inf
 De 22 ate 11,  custa: inf
 De 57 ate 98,  custa: inf
 De 22 ate 12,  custa: 10
 De 22 ate 13,  custa: inf
 De 48 ate 80,  custa: inf
 De 45 ate 25,  custa: inf
 De 48 ate 81,  custa: 21
 De 57 ate 99,  custa: 23
 De 58 ate 0,  custa: inf
 De 48 ate 82,  De 58 ate 1,  custa: inf
 custa: inf
 De 22 ate 14,  custa: inf
 De 48 ate 83,  De 58 ate 2,  custa: inf
 custa: inf
 De 22 ate 15,  custa: inf
 De 48 ate 84,  custa: inf
 De 22 ate 16,  custa: inf
 De 22 ate 17,  custa: inf
 De 58 ate 3,  custa: inf
 De 22 ate 18,  custa: inf
